"region"	"Ã…r"	"Gjennomsnittlig bruttoinntekt, menn (kr)"	"Gjennomsnittlig bruttoinntekt, kvinner (kr)"
"0 Hele landet"	"2008"	423100	269000
"0 Hele landet"	"2009"	419100	275400
"0 Hele landet"	"2010"	433200	285600
"0 Hele landet"	"2011"	453300	299900
"0 Hele landet"	"2012"	470500	313100
"0 Hele landet"	"2013"	487800	326400
"0 Hele landet"	"2014"	503600	338900
"0 Hele landet"	"2015"	530100	354000
"0 Hele landet"	"2016"	522900	359000
"0 Hele landet"	"2017"	533900	369600
"0 Hele landet"	"2018"	550300	382000
"0 Hele landet"	"2019"	567400	397500
"0 Hele landet"	"2020"	583600	409900
